Review	Score
it is so ridiculous and incredulous that the filmmaker completely ruins washington irving's great short story .this film has box office appeal as a date movie for the high school set , comforting each other as they snack on popcorn ( which the theater owners will be largely appreciative of ) , and the teens , in all probability , will be reacting with bemused glee or mock horror to all the packets of ketchup unleashed during the headless horseman's romp through the sleepy hollow of 1799 .it's best to forget about this movie as in any way connected with the novel , the only thing that seems to jive is the time period , the location , and the character called ichabod crane ( depp ) .	0
this one is a yawner , one in which i found it difficult to sit through , as its two hours of belabored effort and uninspired acting seemed longer than that ; and , it was all in the name of getting beat over the head with the director's inane indulgent musings on religion , as he tries to gross the audience out with foul language , sight gags of unpleasant sights , such as a pile of shit emerging from a toilet bowl , and an irrelevant premise for an argument against catholicism , an argument that is about as crude a one as i have heard in some time .the filmmaker is way over his head in this attempt to combine serious argument with one of silliness , spending most of his time lecturing and moralizing the audience with his half-baked knowledge of theology and then resorting to shock techniques to get across his laborious point of view , as if it is a startling revelation he was revealing , that there is politics in the catholic church .fiorentino and rickman are flat and unconvincing in their roles , getting neither comedy nor drama out of their performance , just giving me a mild headache listening to them deliver their vacuous lines .	0
the first-time actress who was chosen as a result of a national talent search for a newcomer for the part , was won by the iowa teen-ager , jean seberg , who doesn't have whatever inner strength it takes to be joan of arc , at least she doesn't have it at this point of her career , and should have not been cast in that part ; her shrill voice does not make for a naive peasant girl who hears the voice of god , nor does the closing of her eyes portend that she is a visionary .he appeared to be ridiculous emoting in his spastic gestures at the camera , as if he was in the wrong film and didn't understand that this one wasn't meant to be a comedy .it was an exercise in futility and arrogance on the part of the director , a thumbing his nose at anyone who disagrees that he is a great filmmaker and that he could make any type of film .	0
though it does drag on for an excrutiatingly embarrassing forty more minutes , until it predictably shows harper overcoming her problems of feeling inadequate .the film heads down a road of corn ball contrivances , that kill any chance for this story to be taken seriously .polley is a fine actress and her performance when first encountering sex , is one of nervous apprehension and childish giggles .	0
it suffers from wooden acting , flat direction , and trite dialogue .it was as if huston was reading his lines from cue cards , which made his confrontations with sherlock unduly dry .what the film did have going for it , was a clever plot and a few gimmicks it hung its hat on , which made it passably interesting for awhile , at least enough for me to continue watching so i could see how sherlock resolves the complicated case he is working on .	0
to make up for not coming prepared with a script that made sense , a stellar cast was hired but then was asked to do nothing , instead some gorgeous vintage cars were put on display and each was given a girl's name .everything about the story was kept hyper , as mindless violence won out over gratuitous sex , to become the major selling point of this exploitive film .the thrill of the film now becomes in watching the crew be selected , which includes angelina jolie , chi mcbride , james duval , and scott caan , none of whom are in the least bit interesting or funny .	0
it was an unbearably dull and simplistic film : poorly acted and with a vile and inaccurate depiction of jews , the scenery consisted of gaudy tv stage sets , and there was just no emotion drawn from the story .he made a few more fascist-commissioned films and in 1943 he shot desiderio , which was a precursor of his trademarked neorealist style to come later .rossellini also took the religion out of jesus and made the rabbi seem as if he was merely a moralist , who was more a humanitarian and a mr .	0
everything about this film is a sham , from the repulsive bar it highlights to the inane relationship it features .it felt like i was dropped into a pit with some of the most obnoxious types you would ever want to meet and was told that the only way to get out of this trap , was to shake my ass like they do .an actor could only hope to come out of a film like this unscathed , that piper perabo does , is a credit to her , which is probably due to the innocent kindergarten teacher look she conveys .	0
the director of this film , jan de bont ( speed/speed 2/ twister ) , is not up to dealing with a psychological story and directing characters in a persuasive way , he is more into making silly theme movies that rely solely on special effects .it's all hokum from beginning to end , and it is so poorly scripted , that tedium quickly sets in , leaving the film with no purpose except to be laughed at for how stupid it all is .since this thriller was never thrilling , it just went on to show off the stage set designs illustriously created by eugenio zanetti , all one could do was go from room to room and stare at the cherubs , the leaping skeletons , the elaborately built stairway collapsing , an animated hand of a ghost coming out of the fountain , and at the futile effort to make a disney fantasy picture .	0
the debut feature of jamie babbit is unabashedly awkward and to make matters worse , she can't get the cast to stop mugging for the camera .his exaggerated gait and suppresed gay tendencies never materialized as funny stuff , just a bad script he was stuck with which was made more unbearable by his obnoxious performance .she seemed to be going for the hammy sweetness she thought her role required and when the comedy part of the film was over and she had hot pants for graham , there was no spark on the screen to give the affair any life .	0
the film suffers from an interminable case of blandness and exhibits an unwillingness to go beyond its cute little tale to see the dangers of someone who invades another's personal privacy by pretending to be someone he isn't , especially in a critical field such as the mental health one .this film was so weak and misleading in purpose , its story so dry and unconvincing , that it was a chore to just watch it and not give up on its arrogant attitude .this was a film made up of phony characters , whose problems were surface deep and were covered in the most superficial of ways .	0
the director has gone after style and has thrown substance out the window , as the film follows this war of words as it escalates into an ugly scene of macho posturing and then into gore .the protagonists were three unlikable snobs , concerned with their image , talking about name-brand products as if someone was an idiot who didn't adhere to their tastes , and getting into the tussle because they were loudly attacking the other table for being tacky .shundo ohkawa's direction is meant to be glossy , high-tech , but suffers from being amateurish and outdated , overrun with trick camera shots to capture the violence .	0
there is no special ingredient on the menu for what is dished out , its the kind of stuff i've seen before and was made nauseous by its silly idea of love and what it thinks is funny .lope cruz , who plays a brazilian chef with a magical touch for bringing out the spices in her preparations , the aromas just sensually waft from her cooking pot , but who can't get by on looks alone in this transparently predictable story .var's " all about my mother , " but here she is so visible in such a stale story , where she can only smile and tease the audience by having us see a constant barrage of cleavage shots as she bends when cooking , that she somehow looks ridiculous , as if she got egg all over her face .	0
which makes this film dumber than dumb , plus it's not funny , not campy , or is it in the least bit entertaining .mercifully the movie drags to a final confrontation in times square , trying unsuccessfully to build tension to the countdown toward the year 2000 .with logic like that , this film might even think it pulled the wool over the viewer's eyes and got away with such a febrile explanation of the occult .	0
the title is taken from the writings of ralph waldo emerson describing the life of a traveler as 'anywhere but here . 'wayne wang's ( " the joy luck club " ) inept direction made a weak script even weaker by his inability to tell the story unfolding without the voiceover relating what the action couldn't convey .but the transition of her life into beverly hills had no feel of reality , as everything seemed staged and unemotional .	0
i grew nauseous from how bourgeois this film was in attitude , where even the rebels are merely lovers of sweet things .it was a labor just to sit through it and not gag , while waiting for the inevitable preachy sermon that comes at the end , so even the church is redeemed for its unchristian attitude toward strangers .lasse hallstrom has come down a few pegs after his more engaging recent films " my life as a dog " and " the cider house rules , " as he couldn't pull this fairy tale off without being tainted by the mediocrity of it all .	0
this fine ensemble cast is stuck in an unwieldy production , where characters have a lost look in their eyes .the film sets for itself some lofty themes -- destiny , fate , mortality -- which are never fully explored with any depth , as the story describes the lives of some toronto citizens 12 hours before a bloody shooting spree in a trendy coffee shop .the film's strategy is to show how one can change their plans and either avert a catastrophe or run right into it , which is hardly a fresh premise .	0
in this less than routine thriller , the cops and a philanthropist are the bad guys .every character was one-dimensional , the story line was crass , the directing was more suited for a tv show than a feature film , the acting was stiff , and the cinematography was unimaginative .i can't think of one thing i liked about the film .	0
garland is one stupid lady in this film .the two things that are positive about the film are : beverly garland is a looker and the film is an oddity .but this film is only for beverly garland fans , which i count myself as an unofficial member .	0
the result is a predictably boring film which neatly ties up all the loose ends by its conclusion , whose heart lies where the schmaltz is .the film appears to be one big advertisement for the giant department store and its generosity to its trailer park clientele .director williams , he once directed the roseanne tv show , uses the material adapted from billie letts' best-selling novel to keep everything as dumb as he can .	0
by bringing in popular asian actor/stunt coordinator xing xing xiong -- whose only prior american attempts at stunt choreography have been the laughable van damme vehicle double team and the dennis rodman cinematic joke simon sez -- our musketeers are thrown into the air to do their fighting .director peter hyams ( end of days ) obviously wanted to blend eastern and western filmmaking styles , but here it's a disaster .and hyam's use of candles and torches to light the grime and filth of 17th century paris are well-noted , but that's the only standout in an overall flat production .	0
susan granger's review of " the musketeer " ( universal pictures ) hollywood launches another assault on classic literature with this $50 million adaptation of alexandre dumas's novel that's strong on action but weak on drama , fusing hong kong martial arts with 17th century swordplay .filmed in southern france , the scenery , sets and costumes are spectacular , but the lighting is too dark and editing is filled with choppy , restless mtv'ish cuts .as the swashbuckling d'artagnan , bland calvin klein model justin chambers buckles where he should be swashing , totally lacking on-screen charisma , not to mention acting skill .	0
it's an exploitation teen movie with no redeeming social or entertainment value .it also fails to deliver any messages , to raise social consciousness , or to succeed as an artistic film .it's just a badly scripted and acted film , that by being so terrible might provide a few chuckles for the discrete viewer who likes looking through trash .	0
it offers hollywood's silly response to the 1950s red scare sweeping the country and promoted by the mccarthy senate hearings looking for commies under every bed cover .to realize how dumb this cold war film is , try this summation of the plot on for size : can it be that the martians are signaling earth and that their leader is that actually uttering the very word of god ?this is one of those really bad propaganda films that has no entertainment value , as it shows how paranoic this country can be and how it can use religion at the drop of a radio signal to promote materialism and christianity as a superior way of life than communism .	0
this film is noted for showing the slum side to beautiful oslo , where we see crime , ugly buildings , the subway , and problems outsiders do not associate with this peaceful and scenic country .the film spends most of the first half of the movie showing him to be a screw off , everything he touches he fouls up , a complete loser-- there is a long tradition of hollywood comedians who have exploited that avenue of comedy .but the picture has darker ulterior motives than that , it will chuck out all the work it did setting up the film as a fluff piece of comedy and go for the criminal aspects to the story , a decision that has to change how we approach seeing this film , we can no longer be content to relax , laughing at this inept mailman , we have to now see how he handles himself under fire , while the director , also , tries to bring romance into the story .	0
wonderland is a rather sugary romance film that is as subtle as a ton of bricks falling on you .the fictionalized documentary unmade beds did it more provocatively and with more of a sense of urgency than this film .the dialogue was actually not bad , those dating erin or trying to flirt with her seemed to be uttering authentic things they would actually say in their situation .	0
too many other things about the movie were either murky or didn't add up , unless you are willing to except anything goes as a satisfactory story line when it comes to dealing with those who are unstable .what worked for me , was the comic reactions by both stanton and travolta , it broke the heavy barrage of emoting from the penns .he held my attention with his mix of manic sadistic moves and cruel humor .	0
this rambling , marathon of an epic movie , aspiring for greatness in filmmaking but in reality is a real snoozer , erupting for a few electrifying scenes , and going on for what seemed an eternity , to tell the 50 years of yugoslavian history by dividing it into 3 parts : the german invasion in 1941 , the cold war-tito socialist state period , and the ethnic cleansing and war period in 1991 .a film that tried desperately to find humor in its madcap antics and absurd characterization of individuals , which i understand to be political jibes , but i still found them to be made in a heavy handed manner and were not funny .all the deceptions and hypocrisies of the leaders are reiterated over and over , along with the filmmaker's yearning for a unified country , this is done an unnecessary amount of times , until it becomes annoying to see every image as a symbol of the same theme .	0
therefore the animated george of the first half of the film , is reduced to being a passive tourist , everyone showing him a thing or two about their country , and the film flounders , caught between a soft romance and a soft political treatise , accomplishing neither one very successfully .george does the sensible thing for a highly emotional person to do , he splits from here and heads for glasgow , supposedly a better person for having loved abandoningly and made a little bit more politically aware of how bad the contras are by his unexpected adventure .but it was pleasant to watch oyanka cabezas , she was quite innocently alluring , giving her role an authentic tone to it , as there were moments when the story seemed to be reaching for something important to say , and that she would be the best spokesperson to present the cause .	0
well , this cure might work on film , and who knows , this information might have some medical merit that i am not aware of , but as part of the plot , stefan as the healer , ingratiating himself with the composer to break his musical silence and give it all for the world of music , started to give me a headache , as it reminded me of all the formula films of this nature that i have sat through in the past , thinking that this easily could have been the theme of a sports film or a multitude of other films , and that the splendid idea that opened the picture was about to be destroyed by contrivance and implausibility .the moral of the story centers around whether you believe one's self-sacrifice for the good of the world is a genuine and necessary one , or that unfilled desires are the height of all deceits .these and other interesting questions could have been delved into , if the plot wasn't so ludicrous , and if the film wasn't so uninspired , as to make it almost unbearable to stomach .	0
dumont shot this film almost like a straight documentary , using lots of close-ups on the youngsters , with long stretches of nothing much happening on the screen , cinema verite style , except the annoying sound of motorbikes racing through town , as it traces the life and lives of a troubled bunch of youngsters , with nothing to do but ride their bikes , play chicken with passing cars , hurl racist slurs , and pay no heed to what is happening in the world , as they cannot fit into society , and are angry at their state of being .it is a film where nothing happens , but boredom is rampant , where a sentence of dialogue makes us pick up our ears , as if something is being said that must be heard and we don't want to miss it .it was more fit to be a primer for the ills of society put under the microscope , and how aimless a young man can be , and uncommunicative , that he so easily loses the one person who could have held him in check .	0
in this kidpic , which is a very safe movie to make in today's iran , as even with the intolerant dictator khomeini dead , and a more liberal regime in its place , there is still no room for anything but subtle dissension to get sneaked into the story , because of strict censorship , and the most fertile ground to do that sneaking in , is in a type of film like this one , where there is no challenge to the ongoing political system and its fundamentalist religious system , as everything is seen through the children's eyes .the father is seen as a true believer , never questioning authority , deeming everything to be in the hands of god , whereas his religious beliefs are so strong , he would not even take a piece of sugar that he is chopping up for the mosque to have for his tea .but as an impactful film , it falls on its face with a thud , unable to make heaven seem to be a real place for children , where everything that is bitter is shown to be really fine despite what appears to be not so fine : rich people are not bad they can be nice , schools are not that rigid they can be accomodating , religion is unquestioned but that is because it is necessary , being poor can make you sad but it is not the worst thing in the world , and obedience is sometimes difficult to understand but it can be rewarding .	0
this very ordinary story is related in soap opera style , evoking heart tugging sympathy for the victim .this film just couldn't move me with this familiar storyline ; its purpose was to try and get me so misty eyed for these two nice people who can't find romance together .i guess this is ok , because you really can't root against them , and the way this film was slowly moving along , with lots of wasted artistic shots of the small-town that had no impact on the story ; at least , it satisfied an audience who would appreciate seeing such a clean-cut and prosaic romance .	0
it is taken from a paper thin story by the renown pulp writer of the vox populi , john grisham ( the screenplay is credited to al hayes , but rumored to have been re-written by robert altman ) .there was , as far as i could tell , no particular character development of the principal players , no intense drama taking place , no new insights into the judicial system , or compassion felt for any one remotely connected with this story .the film becomes an actor's studio venture , with the following characters acting out their supporting roles with varying degrees of effectiveness : clyde pell ( robert downey jr . )	0
it is the debut film for the director , who tells his personal story about italians growing up with heavy new jersey accents and remaining tight with each other as they grow into young adults , a tale which could have been rewarding to see in the 1950s , where the mind-set of all the characters depicted is grounded , but to see it in the 1990s is a different story : it is old news .as for ray's gambling debt and his dilemma of how to pay it off , the story is too predictable for anything other than what you would expect to happen .there was just no energy or spark or anything relevant in this superficial film to keep it interesting , though adrien brody showed signs that he could be a future star .	0
all the vignettes involving the violin changing hands in different countries made me cringe with embarrassment , as the tales were so devoid of any logic and so ridden with cliches , as to make them unintentionally laughable .that the film has lost all track of itself in these tedious vignettes , so much so that it has no chance of ever uncovering what it probably wanted to show , of how the universal message of music brings harmony to the world and how it transcends all cultures and kinds of people .for some unfathomable reason , we are supposed to get worked up about a bidding war for the violin and who would possess this perfect instrument when for the entire film there was not one person in the movie covered in enough depth that we could get emotionally involved with , and to care at this late date about who owns this material object , when it has long since been viewed as a mere trophy , just doesn't make sense .	0
one thing becomes apparent , wenders has very little feel for comedy , all his efforts to evoke buster keaton type comedic skits fall flat .the film rambles pointlessly on-- and when he catches up with bauchau , these scenes of dialogue get pretentious , as if they were trying to say something heavy about images and the making of movies , but are really saying very little .the great portugese filmmaker manoel de oliveira makes a cameo to deliver a sermon on films , asking , " what use is the universe ? "	0
for three quarters of the film , an exciting , somewhat plausible thriller takes place , that is even occasionally intriguing .as a result , this film wastes splendid acting jobs by clint , ed , and scott .the script calls for no bold statements about the politics of the white house , which makes the film rather weak in scope and purpose .	0
loggia is wonderful in relating to the child in such a wholesome manner , it almost saves this film from drowning in syrup .as this film flopped commercially , his next one , the sixth sense , pared down the schmaltz and came up smelling like a rose .it's just too bad that it had nothing relevent or even truthful to say about death , children in a parochial elementary school , or for that matter , about god .	0
celebrity is like an amalgam of old woody allen materials , which has always given him an opening to concentrate on being witty and ignoring such filmmaking details as editing and plot .woody makes a stronger statement in the film's subplot that deals with love , as he believes that meeting the right mate is mostly a matter of luck .for starters , none of the main characters were cast right , and especially branaugh : there's no way , no matter how exact his mimicry of woody is , that he can be thought of as a neurotic , nebbish , nyc jew .	0
joseph ruben ( sleeping with the enemy/the stepfather/gorp/the good son ) has directed a lot of films that are just plain awful , as you could see from those mentioned above , except for the adequately made swte .the director spoon feeds the answer that he thinks the audience wants , and it all seems to be a predictable formula driven film instead of one filled with a raw energy .in this case , from what i have seen of beth's direct confrontational approach , as difficult as it might be to say no , i think most people in tony's shoes would have no choice but refuse her request .	0
so i looked at passion , a film about his love of politics , art , and filmmaking with a slightly jaundiced eye , and i was not disappointed .i still don't like his style , or his rejection of a linear story for a rambling dialogue that misses more often than it hits the mark .i admittedly find some of his premises provoking , which is why this film , has enough intellectual stimulation in it for me not to loathe it , just to feel unsatisfied by all its unfulfilled promise .	0
a second-rate , watchable noir film , distinguished by its gritty authentic nyc location shots and the lack of acting ability exhibited by this largely unknown cast and the low-level crime committed , where the detective jokes that this crime didn't even make it into " the daily news . "he doesn't seem like he is an actor or a cop , but he does appear as if he is a genuinely nice person , which in the long run might prove better for humanity , but it doesn't help this film , a film that could have used something more from him to spark this ordinary tv-like crime drama .spotted by our hero , he shoots it out with him unsuccessfully among the many gravestones , which makes for a colorful scene , the best and most memorable one of the film .	0
also the murder plot is just not that funny , and when it becomes more involved , it just becomes a sick joke that goes on for too long ; and , the film ends with a one-too many helicopter scene that couldn't be more ridiculous .in other words , the film moved along at a fast pace , there wasn't much to think about , and might be just the thing for those who would consider this a date movie and not be concerned that it didn't deliver a heavier meal .in this case , since i wasn't stuck on the road , my excuse for eating this junk food was that i was enticed to try something new they were advertising on the menu , but after tasting it , i felt it was just like the same old stuff they always serve in those places , and i just wasn't hungry enough to appreciate that .	0
it's fairly predictable what will happen once the two realize that they are transformed into an unreal tv world , as the film prepares to go into its satire mold and take apart the blandness of such perfection .there was something that rubbed me the wrong way about this " cute " idea of a film , besides the fact it was boring and i felt as if i was being lectured to about the obvious general ills of society .the film is trying to say that the innocence of the 1950s must be merged with the social awareness of the 1990s and this can only be accomplished by the teenage heroes , who are not afraid to take chances and change the times they're in .	0
om puri ( in custody/city of joy/target ) is an accomplished actor from india , whose trademark face and ability to be very expressive and exuberant , engages the film with his sense of what it is to be a decent person .but the filmmaker doesn't even attempt to play fair , the story is told totally from his point of view , all the others around him are one-dimensional characters , who are not only uninteresting but they are for the most part made to appear annoying .but the worst thing about this film , is that it is a snoozer , not able to make its story about the virtues of being faithful to your culture and your wife come to life , as it is mired down in one clich ?	0
as a nervous accountant from dyson's firm , the one who will hand over the ransom money to the kidnapers goes through the phone drill of where to drop the money off , the cops follow along and have some forced conversations on the way to stir up some humor in this poorly characterized and acted script , that will rely on trick plots and a series of betrayals to tell its very forgetable story .one of the cop conversations mimics many of the more recent neo-noir genre films in slickness , as hawkins is reading jim thompson's crime novel " the killer inside me , " which he has already read and greatly admires , with the main thrust from that conversation being that the book says there is only one plot in a murder mystery and that nothing is what it seems .the characters ranged from being obnoxious to being miscast , though if one wished to , a case could be made that carla gugino exuded some charm and sex appeal into the film .	0
it worked reasonably well for part of the film , as dead bodies came popping up unexpectedly in this sleepy montana town , but then the story ran out of tricks and everything about the film fell apart and the psychopathic woman hating slasher , lester long ( vaughn ) , became a tiresome charge , his maniacal charm just wore out his welcome on screen , and the film's conclusion lacked tension or purpose and seemed to be a wasted effort , as it just simply ran out of gas after about an hour into it .clay is somewhat of an innocent , at least , as far as the murders go , but he certainly can't be commended for being a truthful person .everything gets resolved in the film's anticlimax , that mercifully ends in an arrest , though some 30 minutes too late , as far as i'm concerned .	0
larry buchanan has created this cheapie aip color film that has a great title , a dismal story and hammy acting worthy of an amateur thespian production .it's the kind of film played out in a serious manner , that you couldn't help either enjoying or hating it for its awkwardness and how bad it was .what goes for special effects , are scenes where women are disappearing and aliens are appearing out of thin air .	0
the story quickly makes its point , as valid as it might be in orwell's novel , here it seems trivial , that people delude themselves into thinking that they are the next shakespeare and spend a miserable time living in poverty or doing what they shouldn't be doing , when they would be much happier being accepted into the middle-class where they duly belong .the message i got , as i watched this tepid middle-brow , so-called art film , is that living in poverty can be stifling , and that kind of life is not what makes an artist .if one looked hard enough , there can be found some wit in gordon's portrayal of a likable jerk with artistic ambitions and some charm in his relationship with rosemary .	0
the story was so confusing , that the film could have been seen in any of the following ways : as a typical teen dating flick , a sci-fi movie , or a comedy spoof of the horror genre .cahn raises no serious questions about anything- he seems to have a money and brain outage when he made this one .this film was originally released on a double bill with " i was a teenage werewolf . "	0
cahn's four skulls is a rather humorless and flat horror story , but it's blessed with a wonderful title .challenging idea was never really followed through , as the film instead became a conventional melodrama .but in the hands of someone more intellectually capable than cahn , there was the thread of a good story available , instead of shooting for the mundane , the reliance on the creepiness of the killer and the spectacle of seeing a head shrunk to tell the story .	0
there is a level of flatness to the film , as it is not aided by its feeble dialogue and uninteresting special effects , its incredulous tale , and unexciting tone .but all seems gloomy , because if they can't be stopped here , they will surely go on and attack the mainland .this film should be liked most by fans of either christopher lee or peter cushing , who will most likely appreciate lee's stylized performance .	0
the spanish director , bigas luna ( jamon , jamon/golden balls/the tit and the moon ) , known to make very unconventional and sexually implicit films , has apparently toned down his act here , shooting for satire as his only proverbial fish in the barrel to shoot at .not only did i find this film a bore , the acting uninspiring , and the motif unconvincing , but what annoyed me most , was that there was scene after scene of horty telling his inane story of his dying love for marie , to an audience that pays to hear this so they can have a good cry over it .the melodramatic soapy romantic story , just never sailed gracefully across the ocean .	0
it leaves one all fuzzy and cuddly inside , as the film uses risque material to make its point , yet it is almost totally devoid of hot sex .it traps you in its formula mode ; you can't help wishing these blokes do well .the film's popularity does not surprise me , people seem to like quick solutions to their problems and films where thinking is not a prerequisite for enjoying it .	0
the most profound line said by anyone in the film is said by edie falco : " things are not always what they seem- ben ! "the film yearns to be a story about how impossible it is to be free in today's world and how everything one does hurts .i had no feel for those in the film , therefore seeing the violence was much like reading a newspaper account of a tragedy occurring to strangers .	0
it's a one joke movie that quickly runs out of steam , as the cloying humor soon becomes insipid and the comic situation turns out to be more ridiculous than funny .it's a star vehicle effort , so if you like de niro and crystal , then you have a chance of falling for the film's silly premise and not caring how inane the dialogue is .the film is loaded with sight gags , clashes of culture between the educated jewish doctor and the tough-guy italians .	0
the stories he told about the english bringing fleas and the damp to ireland , didn't evoke the comedy or sympathy for him that it should have .the whole point of the film will be a long and trying study in misery and poverty , as the family will undergo a series of hardships , including the loss of three young children .the film has a bored look about it , indicating nothing much is going to happen except for a string of gross events and that frank , as a survivor , will somehow come through all this misery .	0
this play-within-a-film , much like bullets over broadway or shakespeare in love , but not up to both of those film's achievements , nevertheless it manages to develop a somewhat pleasing storyline and some amusing comic moments .the second memorable performer is umberto bevalaqua ( walken ) , the detested theater critic , who plays the part of a fop , excessively showing his outrageous mannerisms .aida turturro , the real-life cousin of the director , plays a part that makes good use of her huge breasts .	0
director risa bramon garcia , making her debut after a successful career as a casting director , seems to be more interested in getting the pop music of the 1980s heard and the bizarre dress of party goers viewed , than in telling a cohesive story .then i felt the party was really over and this mtv produced story faded out with not one interesting character in the film .i bet you a dollar to a donut , that you could have gone to most any other new year's eve party in manhattan and met more interesting people !	0
the shame of this film , is that it was oddly enough entertaining for long stretches , as it seemed to pass for being a diverting actioner , until it reached the point of no return in tolerability .john frankenheimer moves the action along at breakneck speed but the more the characters try explaining the ever-changing situations , the more ridiculous the explanations become .the thing this film mostly gave me , was a sense of astonishment that frankenheimer , who could still in flashes shoot a scene that is mesmerizing ( the one on the cracked ice with affleck jumping into the chilly water to save theron ) and then follow it up with one that is so dopey ( machine-gunning warfare in a casino that looks like a supermarket ) , that you wonder what happened to the director in a career that spanned 44- years .	0
there is no feeling for characters or intensity in this story , it looks contrived from the get-go .all the characters , except for reese's , are slime balls , people we could care less about .so when this film moves into its different plot twists and all kinds of ludicrous situations develop , it wanes in interest , as the characters were never developed and the film has a cheesy look to it .	0
a superficial b- movie about flying saucers , offering no relevant views on matters of space exploration , except some might be amused to see washington d .though , the exception to this uninteresting sci-fi film at the time , might be the one adapted from robert heinlein's novel " rocketship galileo , " which was made as " destination moon ( 50 ) . "the silliness of the film is delightfully highlighted by the finale of the flying saucer attack on washington dc .	0
